model,variant,clean_holdout_quality,stressed_quality,absolute_change,retention
atlas-sim,decompose,0.4219196428571429,0.4036805555555556,-0.018239087301587298,0.9567711823557766
atlas-sim,evidence_last,0.5046428571428572,0.5977083333333334,0.09306547619047623,1.1844184949280492
atlas-sim,few_shot,0.5555357142857142,0.5032291666666667,-0.052306547619047516,0.9058448516018431
atlas-sim,full_stack,0.6029017857142858,0.5486458333333333,-0.05425595238095249,0.9100086387757619
atlas-sim,minimal,0.4751785714285714,0.4777430555555556,0.002564484126984179,1.0053968850473924
atlas-sim,role_only,0.48709821428571426,0.38104166666666667,-0.10605654761904759,0.782268658540311
atlas-sim,schema_first,0.5725,0.5580902777777778,-0.014409722222222254,0.9748301795245026
atlas-sim,verify,0.5912499999999999,0.5173958333333333,-0.07385416666666667,0.8750880902043693
ember-sim,decompose,0.4686160714285714,0.4196875,-0.04892857142857143,0.8955892159664666
ember-sim,evidence_last,0.5728125000000001,0.6094791666666667,0.036666666666666625,1.0640116384797236
ember-sim,few_shot,0.34745535714285714,0.5708333333333333,0.22337797619047617,1.6428969120733221
ember-sim,full_stack,0.5585267857142857,0.46875,-0.08977678571428571,0.8392614499240668
ember-sim,minimal,0.4516071428571428,0.4545833333333333,0.0029761904761904656,1.0065902201133519
ember-sim,role_only,0.49361607142857145,0.43680555555555556,-0.05681051587301589,0.8849095093103413
ember-sim,schema_first,0.48379464285714285,0.4897916666666667,0.005997023809523827,1.0123958044969394
ember-sim,verify,0.45732142857142855,0.5402777777777777,0.0829563492063492,1.1813961560154453
nova-sim,decompose,0.45433035714285713,0.44999999999999996,-0.004330357142857177,0.9904687039402573
nova-sim,evidence_last,0.5284375,0.4874652777777777,-0.0409722222222223,0.9224653393784085
nova-sim,few_shot,0.5582142857142858,0.5801041666666666,0.02188988095238087,1.0392141181488588
nova-sim,full_stack,0.5728125000000001,0.6278125,0.05499999999999994,1.0960174577195854
nova-sim,minimal,0.36562500000000003,0.38333333333333336,0.017708333333333326,1.0484330484330484
nova-sim,role_only,0.47544642857142855,0.49628472222222225,0.020838293650793704,1.0438288993218572
nova-sim,schema_first,0.5022321428571429,0.5631944444444444,0.06096230158730154,1.1213827160493826
nova-sim,verify,0.5075892857142857,0.5145833333333333,0.006994047619047539,1.0137789504544121
